id,ingredient,degree,sugar,base_spirit,glass_id,color_id,occasion_id
42,"얼음|480 ml,앱솔루트 그레이프프루트|480 ml,루비 자몽주스|10 ml,라임 주스|소다수|1 웨지,그레이프프루트",19,0,vodka,4,7,14
43,"480 ml,앱솔루트 보드카|20 ml,레몬 주스|10 ml,슈가시럽|1 잎,바질",37,1,vodka,2,6,1
44,"얼음|20 ml,앱솔루트 시트론|20 ml,레몬 주스|10 ml,레몬첼로|10 ml,피상 암본|사이다|1 슬라이스,카람보라",17,1,vodka,4,3,14
45,"얼음|30 ml,앱솔루트 보드카|20 ml,블루 큐라소|20 ml,애플 주스|레몬에이드|1 웨지,라임",23,12,vodka,4,8,13
46,"480 ml,앱솔루트 보드카|150 ml,토마토 주스|15 ml,레몬 주스|3.76 ml,핫 소스|10 ml,우스터 소스|1 꼬집,블랙페퍼 가루|1 꼬집,마늘 소금|1 웨지,레몬|1 개,셀러리",29,1,vodka,4,1,14
47,"얼음|480 ml,앱솔루트 라임|15 ml,라임 주스|진저비어|2 웨지,라임",38,0,vodka,5,6,22
48,"얼음|30 ml,앱솔루트 워터멜론|90 ml,스파클링 와인|7.5 ml,슈가시럽|4 조각,수박|민트",16,13,vodka,7,7,21
49,"얼음|480 ml,앱솔루트 보드카|330 ml,라임 코디얼|1 슬라이스,라임",23,26,vodka,2,5,14
50,"얼음|480 ml,앱솔루트 보드카|150 ml,소다수|30 ml,레몬 주스|15 ml,딱총나무 꽃 코디얼|2 슬라이스,레몬",28,3,vodka,4,5,17
51,"얼음|20 ml,앱솔루트 보드카|20 ml,라이트 럼|20 ml,진|20 ml,데킬라|330 ml,레몬 주스|20 ml,트리플 섹|20 ml,콜라|1 슬라이스,레몬",8,2,vodka|gin|rum|tequila,4,2,14
52,"얼음|480 ml,앱솔루트 워터멜론|480 ml,레몬 주스|22.5 ml,슈가시럽|6 조각,수박|라임",18,1,vodka,2,1,22
53,"얼음|30 ml,앱솔루트 보드카|20 ml,코코넛 워터|20 ml,크랜베리 주스|10 ml,블루 큐라소|7.5 ml,슈가시럽|블루베리",16,10,vodka,2,8,15
54,"얼음|30 ml,앱솔루트 보드카|15 ml,드라이 버무스|15 ml,스위트 버무스|0.94 ml,비터즈",29,6,vodka,7,5,4
55,"480 ml,앱솔루트 라즈베리|22.5 ml,슈가시럽|22.5 ml,레몬 주스|5 개,라즈베리|소다수",34,2,vodka,4,7,4
56,"얼음|480 ml,앱솔루트 보드카|150 ml,오렌지 주스|1 웨지,오렌지",30,2,vodka,4,3,15
57,"얼음|480 ml,앱솔루트 보드카|30 ml,블루 큐라소|15 ml,라임 주스|10 ml,슈가시럽|1 웨지,레몬|블루베리",37,3,vodka,4,8,4
58,"얼음|15 ml,앱솔루트 보드카|15 ml,라이트 럼|60 ml,파인애플 주스|30 ml,오렌지 주스|15 ml,아마레또|1 슬라이스,오렌지",8,10,vodka|rum,4,3,4
59,"얼음|30 ml,앱솔루트 보드카|20 ml,신선한 애플 주스|20 ml,사과즙|10 ml,레몬 주스|10 ml,슈가시럽|1 슬라이스,사과",13,8,vodka,7,3,4
60,"얼음|480 ml,앱솔루트 워터멜론|90 ml,소다수|수박|라임",32,1,vodka,4,5,22
61,"얼음|480 ml,앱솔루트 보드카|30 ml,멀드 스파이스|90 ml,진저비어|30 ml,레드 와인",31,0,vodka,4,1,22
62,"얼음|480 ml,앱솔루트 맨드린|480 ml,크랜베리 주스|15 ml,트리플 섹|10 ml,검붉은 오렌지 주스|7.5 ml,라임 주스",19,6,vodka,7,1,15
63,"얼음|480 ml,앱솔루트 페어|510 ml,애플 주스|510 ml,크랜베리 주스|1 웨지,라임",12,8,vodka,4,1,22
64,"잘게 부순 얼음|480 ml,앱솔루트 망고|15 ml,슈가시럽|4 그램,라임|4 잎,민트|1 웨지,망고",36,1,vodka,4,5,14
65,"얼음|330 ml,앱솔루트 망고|150 ml,소다수|15 ml,라임 주스|1 슬라이스,망고",25,3,vodka,2,5,22
66,"얼음|480 ml,앱솔루트 워터멜론|20 ml,슈가시럽|4 조각,수박",36,2,vodka,7,7,22
